cust_no,ltv
0xb2d5974a,124351108.06370366
0xb2d2127e,477318.2761799392
0xb2d1a855,150923.67405702986
0xb2d18be4,756255.7590462075
0xb2d584b7,435920.0234024173
0xb2d681ad,8565.28050439852
0xb2d6c46d,172182.19231952907
0xb2d097eb,181707.3810397845
0xb2d574df,2548.6350057668033
0xb2d22034,64700.135088440904
0xb2d6456e,105425.24457606289
0xb2d1045d,86537.00616742898
0xb2d31460,78.2969633770981
0xb2d33380,5186184.074536851
0xb2d1d915,4726740.900251647
0xb2d3a1ed,358959.62141392747
0xb2d0b39c,1262675.6805749137
0xb2d2bff4,82779.81084689351
0xb2d168ce,518893.84175450506
0xb2d3a40f,2521462.696954173
0xb2d1d45f,116715.2132120484
0xb2d312a1,15964.84998736634
0xb2d14825,866002.7141721263
0xb2d70871,8340.93952708361
0xb2d10e7a,23.18291574500516
0xb2d62135,277413.95825410343
0xb2d63917,1476510.0725148984
0xb2d14396,11982.414674521502
0xb2d33dee,66042.23944596351
0xb2d16bf8,1016.324235356363
0xb2d7c0b2,13993478.397826709
0x3b9af2b6,2586644.247121188
0xb2d1dd17,440905.41578739847
0xb2d299d5,416411.1433355648
0xb2d43f88,109067.64088191964
0xb2d630a7,452874.3933275159
0xb2d5e7bd,31515.06203628261
0xb2d772c4,62264.831123172946
0xb2d19ead,385522.99084240414
0x3b9b0e79,290325.84022323193
0xb2d2451e,78399.56725908277
0xb2d064b2,6399084.614313118
0xb2d67d7b,115530.33065231371
0xb2d10643,1864176.0165765001
0xb2d836e4,2633450.6733382936
0x3b9b3099,43565.9074725094
0xb2d78341,5710.34912862788
0xb2d54dee,743730.2468654151
0xb2d19508,107762.13668506016
0x3b9add59,4791983.447246305
0xb2d5b61f,50720.36427980604
0xb2d63941,19162.9538918515
0xb2d12bf3,237825.6800403946
0xb2d3b6ed,149141.9413903379
0xb2d1cd57,3486749.67483121
0xb2d503ae,1290460.8508019906
0xb2d193f7,232698.2593531891
0xb2d20087,260747.49051885356
0xb2d78e48,16550.208346792802
0xb2d33431,191669.79762482262
0xb2d597ce,957433.9180705189
0xb2d11f15,113937.51326432223
0xb2d09d85,65632.41238108145
0x3b9b3c42,10811.792338508281
0xb2d3e28b,1332.1206610920224
0xb2d166b2,142130.65124024532
0xb2d22f0d,3278713.4594724094
0xb2d3422f,90374.73600676164
0xb2d37e41,909322.4657615486
0xb2d3e7c2,599089.823602473
0xb2d62fc9,11118.217706205585
0xb2d06806,82842.00809608298
0xb2d454ac,417072.803858861
0xb2d43e98,470622.808931074
0xb2d4384a,2621.120514095583
0xb2d6c6e9,28587.678501119408
0xb2d5b289,83572.35331784876
0xb2d50990,11756.981635293243
0xb2d40fd3,591573.2503780356
0xb2d6610a,91167.4907933389
0xb2d5581a,785.836122438256
0xb2d408cb,79450.10558173337
0xb2d306d1,4710139.607780906
0xb2d1c0a3,28768.487046978596
0xb2d39695,18653.811964400455
0xb2d5f096,338879.09858958394
0xb2d0b42c,841443.0605980163
0xb2d61b71,1061452.9663828176
0xb2d69a0a,50075.50000222393
0xb2d2ff6c,2257993.031643041
0xb2d3831b,3294.6324969344687
0xb2d6d028,472639.25443262927
0xb2d59a1d,20459.802684989638
0xb2d58a9f,337703.2448969055
0xb2d47ea3,33056.282213672705
0xb2d2fb79,58813.33953311306
0xb2d3b6c0,319413.1803225956
0xb2d1bf08,134594.78510226373
0xb2d26915,1025.0168031282985
0xb2d247eb,241.041876358157
0xb2d4348a,903893.3715841508
0xb2d6bd0e,230222.90498437345
0xb2d5ee2f,128650.83274184304
0xb2d50a92,5858715.438447285
0xb2d4e143,53447.34418894774
0xb2d249bc,210621.76481342016
0xb2d0f30b,1126836.3939505948
0xb2d270dd,290824.84638223134
0xb2d4ac8a,66068.99779560235
0xb2d53c51,92520.4945830133
0xb2d698de,61153.310254779986
0xb2d54abe,512261.435048115
0xb2d0be43,270608.76165169745
0xb2d3b45c,66281.09552697916
0xb2d17b4c,35279.4171774611
0xb2d4f9a0,5460130.961683608
0xb2d25064,5782.713103197088
0xb2d792c5,205763.83813469234
0xb2d2531f,1384564.5452087745
0xb2d17ce4,298599.19009809365
0xb2d069e9,4533313.0122195
0xb2d252ad,31105.828548909914
0xb2d4f685,1506181.4975985321
0xb2d229b5,375107.84832376585
0xb2d20df5,9507.475434219052
0xb2d5893a,53660.69081611773
0xb2d28e62,419645.72153941484
0xb2d0d5fe,1274993.3416765872
0xb2d606d4,187285.56209304585
0xb2d70148,101469.42417495456
0xb2d591c2,1.2525892171416926
0xb2d0d30d,983202.6581552039
0xb2d25c49,3057272.320375263
0xb2d59516,234184.61034514714
0xb2d0fd9a,20617.293317142874
0x3b9b4269,628983.540752944
0xb2d5d113,22333.566859705556
0x3b9ada89,541262.5055060385
0xb2d5d3e9,11021.375025562684
0xb2d53045,415655.055754205
0xb2d87cc5,380844.40978283755
0xb2d2e295,3065581.964581863
0xb2d5e6a9,32669.91824263107
0xb2d15fb3,131290.95486592944
0xb2d1abdf,1118874.0593704293
0xb2d6e03f,79881.32062623874
0xb2d536de,3674731.743561321
0x3b9af2c8,8840578.397036474
0xb2d5e361,128906.53264953548
0xb2d645f2,230968.21046335023
0xb2d44d5c,273443.1104697214
0xb2d6d2a4,107038.71968014739
0xb2d5af35,119824.07458802575
0xb2d88f5b,13125186.537144674
0xb2d54ce3,160698.34859323484
0x3b9b2715,100344.56920561298
0xb2d340fd,4178286.3663831507
0xb2d490ac,19.115919983470576
0xb2d0b00f,325659.11267129524
0xb2d48ea2,228975.23737380828
0xb2d405da,21929.891252317484
0xb2d6d9d9,5338.4541851722315
0xb2d537d7,1236.3760177662562
0xb2d6cf41,28573.50769130909
0xb2d423a1,89634.47882073351
0xb2d4d849,2123.4749096987703
0xb2d8e580,17930.94733232642
0xb2d19a45,23164.08754234661
0xb2d34cc4,2448535.9583758335
0xb2d17fc6,89898.14860428812
0xb2d617d5,20880.778899781973
0xb2d2f1ad,9131637.075353993
0x3b9b0e3d,777345.196667974
0xb2d2d1ac,253527.93757647616
0xb2d11fcf,121035.72372635864
0xb2d5aa55,1498426.6052185865
0xb2d425f0,8341.034298308492
0xb2d29b73,604596.610982498
0xb2d10004,383228.38883050927
0xb2d37ca9,20595.63869608093
0xb2d5c71d,1037915.9720604256
0xb2d20fb4,1770888.1669994337
0xb2d580c4,2257.7467946520255
0xb2d6eca5,412349.9697011612
0xb2d380db,622376.4803608432
0xb2d6bcea,34918.88262385929
0xb2d4e1f7,470.9575516268037
0xb2d1099d,677009.0191622407
0xb2d62d6b,30756.03053368003
0xb2d56315,387862.5386031609
0xb2d178f4,165171.7697944052
0xb2d49160,2195211.3433373035
0xb2d5915c,4.179680541773706
0xb2d1a627,1081464.1065829934
0xb2d787fd,2563920.8947045775
0xb2d1b44f,79431.96892079458
0xb2d11dad,14877.160616629933
0xb2d3c0d1,59907.35083713557
0xb2d48c56,5664699.495772869
0xb2d2f1d1,629919.5852816213
0xb2d39c14,7206.061965987009
0xb2d6bf21,10096.563562222294
0xb2d287cf,277559.58632167353
0xb2d5e676,22121.30444164127
0xb2d68072,55961.93352817632
0xb2d59ebe,1140234.3464467393
0xb2d610b5,41050.77274554558
0xb2d5d914,32296.6821559298
0xb2d230cf,77852.43621333264
0xb2d3a9ca,13849.838949555511
0xb2d06905,64083.990251315314
0x3b9b45ba,54003156.71772563
0xb2d1286f,708390.6028520435
0xb2d27647,173526.72051627186
0xb2d68516,507528.04813823424
0xb2d07af3,170024.07520068757
0xb2d6dfee,29549.440431568146
0xb2d2c747,178613.99704209977
0xb2d5fcb1,292824.45624047035
0xb2d0cd5e,2256714.7366532334
0xb2d2778b,28333.158144699217
0xb2d62f00,99155.10822750852
0xb2d14759,88837.51104787432
0xb2d482d2,12374321.847155232
0xb2d0d94f,13719861.53239847
0xb2d24722,278625.5971283117
0xb2d3a3f4,131187.57885630545
0xb2d14b5e,547041.4346565194
0xb2d242fc,1303601.6545603296
0x3b9b464a,182763.57353523935
0xb2d42746,772396.097786847
0xb2d37b4d,400019.7026478473
0xb2d0d550,94079.95379344316
0xb2d0d1ae,4833.291571740704
0xb2d3a901,146702.6243019953
0xb2d12ce3,61945.55764266992
0xb2d4772f,34433.64844052269
0xb2d178d6,685590.744686032
0xb2d19a54,53207.73805015404
0xb2d0dd69,22765.99776658827
0xb2d1facf,28790.206740085552
0xb2d13292,207274.4362914859
0xb2d21347,1792589.7562091383
0xb2d2ec04,2031858.565035345
0xb2d683ff,7181389.067637246
0xb2d5cf00,43316.36821404859
0xb2d089f3,84647.17086441882
0xb2d1e620,1942726.4028702774
0xb2d56b94,284163.95019201253
0xb2d0b600,1037050.8673535098
0xb2d31793,252843.54138615794
0xb2d33650,88916.15903290799
0xb2d60b2a,89923.90173315816
0xb2d581d5,10118.310322614232
0xb2d3cc80,10491.47229874736
0xb2d6ea4a,423536.0762701516
0xb2d41eb2,26378.041163519054
0xb2d5ad31,4540280.21187931
0xb2d2cc36,251666.49677069392
0xb2d580d3,60.78661046469831
0xb2d0b3ba,756748.3159492944
0xb2d43520,22.54426560161678
0xb2d0b525,643346.832893341
0xb2d21d76,384265.1208722203
0xb2d4e45b,57867.830638580184
0xb2d5e60a,66517.76357127685
0xb2d6b507,227246.34187467338
0xb2d787b5,88041.99903318535
0xb2d1cacf,58072.85955904908
0xb2d620f6,26468.99645800176
0xb2d07499,485102.6459937355
0xb2d13a09,10571363.520982593
0xb2d2d34a,719.9421516597286
0xb2d2b4b4,56754.74865611139
0xb2d5f85b,113523.04983839762
0xb2d0d7f9,20.586114437072442
0xb2d577af,66228.23583121673
0xb2d65c0f,187311.51587728245
0xb2d6f50c,765323.8734829051
0xb2d4ec1d,570988.4242352839
0xb2d275a8,147492.23713116455
0xb2d1fcd3,4942740.840684448
0xb2d2e0e8,0.783155074714111
0xb2d3f15b,13689.828742661955
0xb2d63a8b,38644.3887560162
0xb2d5babd,245778.4933694606
0xb2d269cf,644390.0039121334
0xb2d78626,5873.117769701236
0xb2d38c5d,597307.1107564645
0xb2d2affe,3358.1943255469123
0xb2d32714,87521.74850103946
0xb2d0678e,14869737.984009717
0xb2d59a59,338641.35707413545
0xb2d23711,94334.63339839707
0x3b9b3891,2209715.201304368
0xb2d8d194,8965.276177920463
0xb2d532af,249264.7162116653
0xb2d36be4,149380.65001185652
0xb2d60167,151951.08111934032
0xb2d09b9f,158477.96631580856
0xb2d2755d,441610.3726413972
0xb2d2bc58,699.9145304590971
0xb2d61505,24999.718357096674
0xb2d555b3,86964.12552780534
0xb2d5b46c,1709587.5672246935
0xb2d0977f,49586.93265548212
0xb2d3ff62,6008203.872813488
0xb2d1fc85,1662023.626930397
0xb2d65516,257844.3691498672
0xb2d5141c,93431.88175775303
0xb2d58db1,175881.1332904626
0xb2d6c18e,1806.8958603966898
0xb2d34919,15963.357984788545
0xb2d548cf,58535.72686824652
0xb2d627ef,774607.8711633439
0xb2d2af68,24713.094617267012
0xb2d67dd2,55581.93410906287
0xb2d0952a,376772.4885283523
0xb2d59039,1096399.6167457318
0xb2d09c89,53380.20578283253
0xb2d48c77,22853243.43943474
0xb2d166c1,421895.283102015
0xb2d6070a,112010.65078885127
0xb2d2b34f,3253771.9417986255
0xb2d6b489,10736.702581365162
0xb2d61b20,117305.80046671248
0xb2d51e9f,1029885.5419670384
0xb2d28364,8644.133441031292
0xb2d4f715,1206301.9816037035
0xb2d261d4,92548.04519568817
0xb2d4ad2c,2919037.09051168
0x3b9af27d,2335173.961756797
0xb2d17d83,81414.02124882831
0xb2d6e4ad,544401.0034697258
0xb2d781e5,1646778.2118842357
0xb2d6a559,37195.58594399601
0xb2d11a02,271760.0652032964
0xb2d1ba25,117725.03411624322
0xb2d5a494,1135625.6327324416
0xb2d6becd,19746966.037537556
0xb2d07c6d,354812.45136308647
0xb2d578f3,984579.9020251347
0xb2d6c4ac,9440.826342750583
0xb2d782f9,412638.8723485482
0xb2d65564,983477.3473287285
0xb2d3ef96,69796.5998956654
0xb2d41f54,7533.83582849579
0xb2d36455,99406.19860765536
0xb2d2cdc8,106687.13218588209
0xb2d38cbd,40383.064325245025
0xb2d1a5ac,26276.62958572606
0xb2d5c489,547833.8291312082
0xb2d0ee16,40512.145982922826
0xb2d10ec5,64589.73393802967
0xb2d2a968,9729.681523138664
0xb2d212b1,212710.7504199202
0xb2d3a87d,3573135.206440202
0xb2d0e45f,75841.40825980763
0xb2d251bd,2322952.8512227
0xb2d43853,830434.2715008088
0xb2d26675,2354251.450350297
0xb2d69a43,18937.705615582025
0xb2d5c8a3,49903.316324939005
0xb2d64034,1359.2196352061464
0xb2d6972e,14332.178403059905
0xb2d5dfaa,3671644.2156903786
0xb2d12704,320093.1012502952
0xb2d37c6a,366.4760392455927
0xb2d62f57,217.57828607310734
0xb2d1a678,92201.78125141592
0xb2d119ae,183461.24496715458
0xb2d613d3,1.852936985712308
0xb2d412a3,2267515.2889935127
0xb2d32dc2,1519805.2153421121
0xb2d6d53e,410530.34597730666
0xb2d29d95,5451.415283067681
0xb2d60c1d,923.1465113639746
0xb2d4ac4e,42466.33949068959
0xb2d4d318,784744.3374118103
0xb2d568dc,1092747.0835173328
0xb2d0ac79,3646695.930204177
0xb2d3f4ac,374660.83420487633
0xb2d6b32d,3459244.3745990917
0xb2d56666,73735.34376277012
0xb2d4436c,4776.1970352258695
0xb2d28f7c,5375197.646379945
0xb2d6c4a6,25299.4423721084
0xb2d4a267,19917.36090040151
0xb2d240e3,509818.30688776314
0xb2d5d812,7054.877458483891
0xb2d39f98,229018.14656177736
0xb2d0a2a1,6184.498689266671
0xb2d6c1c1,939653.007222282
0xb2d627dd,4188056.8997342256
0x3b9b0e52,123254.49389067173
0xb2d6a7d2,24076.022885692368
0xb2d3d13c,1665335.8946097454
0xb2d57701,292523.30035138136
0x3b9af196,623433.6350600746
0x3b9b2f97,2476235.38648511
0xb2d193fd,88831.75855564553
0xb2d7c44e,389746.15711908543
0xb2d45eed,47395.02498932707
0xb2d20768,405591.8918526255
0xb2d54eba,2624.9087205027504
0xb2d2fbcd,827341.6573814529
0xb2d2124e,67062.83039844464
0xb2d65987,56223.1822045491
0xb2d1bf0e,171959.62405541277
0xb2d32720,32362.704209742515
0xb2d6819e,1133731.159900908
0xb2d59702,1167541.266320839
0xb2d1eac1,248840.0376545294
0xb2d223e2,576046.0160162215
0xb2d254a2,41662.75117949087
0xb2d32f6f,343507.80476624053
0xb2d60d7c,618677.1968988564
0xb2d48c26,19057.107759005557
0xb2d151f7,24374.48528148528
0xb2d3a547,774102.0902956056
0x3b9b145e,185655.06377357428
0xb2d210bf,2742122.451394695
0xb2d6c1ac,589494.9423701727
0xb2d69d31,52.37192372877107
0xb2d29f03,426156.7887942918
0xb2d54cd7,1353265.8716411288
0xb2d60c08,37407.22086695757
0xb2d5edab,34015.96586125841
0xb2d5c5be,2172442.962404694
0xb2d28db1,15120.448397258862
0xb2d17948,851964.0213776852
0xb2d6062f,161506.42419105276
0xb2d2b7a2,109817.86676062693
0xb2d072d4,1036651.1668076592
0xb2d46f91,2778468.87968732
0xb2d28169,1885857.625483993
0xb2d5fe19,18491.510157554487
0xb2d19cb2,262094.18666164362
0xb2d58322,587969.2578139212
0xb2d277fa,225216.0702843971
0xb2d2380d,2653195.8437061897
0xb2d56558,18138.070321576124
0xb2d446e4,671707.3440973725
0xb2d23489,1900300.2740293704
0xb2d2fb58,476938.1567287888
0xb2d1ffc7,255329.98321673382
0xb2d0cf38,496046.454813436
0x3b9b4110,785844.157488467
0xb2d4fe14,638568.4522274812
0xb2d06479,99757.9357721239
0xb2d3ee22,249641.8116298869
0xb2d55c10,1396715.317161945
0xb2d2889b,844897.739227509
0xb2d17003,82285.11434750652
0xb2d3406a,7183.1938049060245
0xb2d68096,34905.59627006589
0xb2d68a7d,7584233.246526596
0xb2d500cc,108445.41647087253
0xb2d279e3,236123.7206187428
0xb2d58259,65062.796509212785
0xb2d683d5,1721945.8424538493
0xb2d28424,1121.187127180564
0xb2d4f271,104386.24996319533
0xb2d2d73a,14806646.564862644
0xb2d18191,28797.083007770118
0xb2d06d10,5353.5884247453405
0xb2d1653b,93752.83352085049
0xb2d1581e,5095.988287255389
0xb2d370a9,182383.14319334354
0xb2d2c4a7,20486.8321881985
0xb2d6c1b2,74610.7395177407
0xb2d25952,248497.52097810208
0xb2d28223,135261.70093289006
0xb2d57a5e,180723.06166771796
0x3b9af26b,184338.0151899417
0xb2d2f3e4,67536.416451602
0xb2d4084d,2436.188589129065
0xb2d25d51,5617910.834415895
0xb2d5b181,395668.70890243415
0xb2d3ae68,691561.9096553411
0xb2d4363d,22207.369450678794
0xb2d60a01,96806.94225880415
0xb2d5730b,2893023.3205972845
0xb2d65e37,291649.5107780989
0xb2d42a28,8522.402715480588
0xb2d6c12b,361704.7959194436
0xb2d61e89,45087.734830534966
0xb2d6890f,29969.97873180449
0xb2d280ac,1376593.9195871288
0x3b9b4929,3169936.941455562
0xb2d4f142,17678.724938487947
0xb2d410a5,166066.64708404685
0xb2d60c14,3637.1821074261607
0xb2d61a7b,60671.99285000142
0xb2d367f7,0.4238012181618929
0xb2d6404c,374838.5407417406
0xb2d5a575,768062.9777736788
0xb2d4d036,423097.8507850401
0xb2d0d7db,16719.011727436577
0xb2d3e7d4,34591.7263417322
0xb2d19ffa,2.5332900646802123
0xb2d41054,315679.9573996854
0xb2d6c218,60291.745665334696
0xb2d40bf2,335688.3437540221
0xb2d56048,74170.91282219232
0xb2d3af10,18704560.10495565
0xb2d083e7,316989.99782208574
0xb2d4f8bf,101415.37619350715
0x3b9b2985,1067220.3642690685
0xb2d53d80,20856.703140831527
0xb2d58b7a,9708.242340188039
0xb2d0a9d9,107232.44126593616
0xb2d1e48e,1505519.4805405505
0xb2d0bfc9,395504.97662832943
0xb2d30b1b,6100.502126982105
0xb2d32c75,349809.0719532886
0xb2d3d0a9,65299.92508699344
0xb2d06c3e,32329.787260099034
0xb2d4162a,454874.61050390423
0xb2d60cc8,1182782.9745239292
0xb2d8399c,65631.23902459187
0xb2d0b3e7,860923.6338832024
0xb2d2a4a6,106888.89978943585
0xb2d563c9,1333496.7407046638
0x3b9b3396,736815.3287757122
0xb2d29417,501414.7408856719
0xb2d5cee2,18994.136192522332
0xb2d6d9df,400227.11198850605
0xb2d354c2,235794.90974050318
0xb2d3b9f0,485203.6994170782
0xb2d63782,9586.946819242954
0xb2d3568a,671734.5803431119
0xb2d3b5be,31248.388040634083
0xb2d30d73,45592.342671992286
0xb2d26dc8,382228.4012502384
0xb2d0ff7d,302365.2364471974
0xb2d47f21,38820.46327991269
0xb2d129ad,18888.2551273813
0xb2d47291,801225.7739834827
0xb2d55a2a,104296.2641894688
0xb2d8b0b2,201822.43552602263
0xb2d37bf2,15958.581733530216
0xb2d1d85e,257338.38430469355
0xb2d11876,2520215.776099844
0xb2d33d6a,196451.88809048058
0xb2d603f5,50711.61272866439
0xb2d60758,9681.002130624573
0xb2d5a008,3459748.606471996
0xb2d09e5a,505936.28458443726
0xb2d2b397,422081.00010567723
0x3b9af169,675744.9618960749
0xb2d68276,332682.81932694605
0xb2d1dd47,30722.932726478313
0xb2d1e908,5086860.466468275
0xb2d56321,102865.8320915281
0xb2d52bd1,472.79118688462313
0x3b9b40b0,3558691.1544858576
0xb2d60ed2,74462.12518531748
0xb2d407f3,80595.1548262747
0xb2d0c10a,84746.55484115233
0xb2d6da06,160984.7414106795
0xb2d3fde2,773112.5200531855
0xb2d40388,2880505.792515295
0xb2d1c86b,189409.1735995075
0xb2d59f78,4322.9487077872245
0xb2d5adf7,1731494.9876601612
0x3b9b1c05,1216978.0301025442
0xb2d631c4,99877.13743414548
0xb2d2bd7e,320745.02288122236
0xb2d235cd,9811.2034117708
0xb2d51b66,113941.6693031347
0xb2d22352,821890.0767473775
0xb2d468c5,246598.2983857647
0xb2d34526,192.3690020612656
0x3b9b33a5,16865.53525951888
0xb2d1de4f,67073.69856788214
0xb2d4068e,99362.15566980248
0xb2d5510c,560198.679739683
0xb2d42b1b,21421.05143558269
0xb2d263d8,552908.0332741748
0x3b9b4458,134693.4113501788
0xb2d614ba,31018.501469413535
0xb2d343e8,12240819.269509409
0xb2d581d8,65194.41309802257
0x3b9b18f3,2813438.3259237036
0xb2d41957,761831.1092153661
0xb2d09c59,298173.20344385726
0xb2d627ec,147601.01392430742
0xb2d356cc,47209.10204009603
0xb2d2f05d,2225420.908677626
0xb2d06ccb,47232.2439673662
0xb2d5b358,344305.6012270644
0xb2d2602a,347555.1233466015
0xb2d1c1e4,4522.526697050089
0xb2d5095d,225325.78205464935
0xb2d47279,11869.205309942443
0xb2d31c31,861062.6955609093
0xb2d1ec50,148439.39363781628
0xb2d6419c,342297.28317703767
0xb2d0c37d,313288.60464918154
0xb2d15f4a,479118.86660299613
0x3b9b2c40,215178.66945439923
0xb2d31631,7789.259695629746
0xb2d1977b,64000.658022966876
0xb2d4707b,4950.282262706249
0xb2d7009d,1917058.7004130436
0xb2d14639,297688.35026851535
0xb2d4da02,10853.671300690348
0xb2d2f357,7104.481067758883
0xb2d65222,118686.71763387985
0xb2d250dc,133114.90180000686
0xb2d5ba1e,4573967.346915789
0xb2d256d3,15249.524082406477
0xb2d29b85,10328.69079924458
0xb2d21fb0,107745.13137048729
0xb2d37c85,72305.74670120249
0xb2d0d5e3,7824.960550716683
0xb2d3023c,685378.6315691154
0xb2d20504,192149.4289785509
0x3b9af2c2,205592.5665368134
0xb2d1db91,635392.21479074
0xb2d4e6f5,167489.2700723133
0xb2d6ad6c,1773422.6609964129
0xb2d0f440,17017.16598245405
0xb2d1a618,26650.76575415302
0xb2d5ab45,104598.70918559236
0xb2d5a446,1799744.4450367042
0xb2d20822,11841.640226692047
0xb2d53816,3880.6770511815557
0xb2d630b9,683883.6454918737
0xb2d212ab,2506840.998464823
0xb2d58955,3693.2455032776998
0xb2d0887f,1731117.9614900919
0xb2d597f2,797359.2805919931
0xb2d281ab,333364.4645719263
0xb2d5fcb7,170274.46852877634
0xb2d23ca8,35846.19202347618
0xb2d0ae4a,44176.657291819014
0xb2d21df4,1980570.9064424415
0xb2d6b43e,45813.77704267856
0xb2d43631,232217.885375732
0xb2d60b84,223654.6681963052
0xb2d38744,1051845.0680764178
0xb2d772b8,0.08855133466697908
0xb2d5c43b,7453214.275398374
0xb2d0d643,4081728.261345485
0xb2d6d7f0,717680.0202968172
0xb2d3b945,21082.848231503172
0xb2d40bb3,32283.752384683183
0xb2d5ea78,5208.788153863553
0xb2d50cfc,960675.9022520576
0xb2d22259,15829.913808776471
0xb2d559c1,1600324.6285813302
0xb2d284e4,87132.54717685918
0xb2d67eaa,104511.71539132325
0xb2d0f314,13948.316164332387
0x3b9b46f5,20813.067676630595
0xb2d2da70,391132.96120045363
0xb2d16082,185347.90152065258
0xb2d3b1ec,27816.630824653046
0xb2d3cf3e,1420838.132322593
0xb2d1d9cc,318420.9754888477
0xb2d1d72f,189893.4018788157
0xb2d3551c,3954608.788920819
0xb2d3bca8,479489.98152080586
0xb2d39b36,2570950.8675516844
0xb2d26f8a,49346.99867568662
0xb2d3f50f,225287.7878170123
0xb2d2974a,1235.2340611527554
0xb2d20bd3,216736.19692546863
0xb2d1f751,24696.422049284756
0xb2d2d578,218724.4231832682
0xb2d6e591,56426.01362248062
0xb2d2506d,341206.6077660412
0xb2d1964c,1019921.3237230945
0xb2d1ae07,4475096.069679921
0xb2d599ba,8250.502303848023
0xb2d5ff33,216328.17354631334
0xb2d1bb00,63024.8697331885
0xb2d41c8a,641284.058578581
0xb2d0a4f6,75515.99922172082
0xb2d65915,113585.02631653578
0xb2d14129,320370.5134874193
0xb2d08b55,337028.06579985505
0xb2d64c16,2217.030294701447
0xb2d5f69f,89680.21283084597
0xb2d5b1d2,2420996.2112611323
0xb2d354e6,1655.2313518275455
0xb2d43385,594876.6368649015
0x3b9b451b,21794.714138829942
0xb2d330c5,192766.40891053065
0xb2d26de0,143867.92629057477
0xb2d43751,76217.90417967257
0xb2d09dee,779016.9189487428
0xb2d6f78e,281474.95983654517
0xb2d205c1,2993888.3016666514
0x3b9b4638,102731.5571139988
0xb2d07e80,4760.316990351914
0xb2d1baaf,709686.59258692
0xb2d6dbce,4796160.345966485
0xb2d32af2,33439.46124550155
0xb2d4f367,366806.30426369805
0xb2d63008,77471.12229168539
0xb2d4167e,40441.08142236313
0xb2d0bd32,255749.56395410976
0xb2d5a61a,1016928.9068408245
0xb2d52829,6910650.655335278
0xb2d2b6eb,3915.1222121420365
0xb2d09c83,1752254.810839402
