,cust_no,Recency,Frequency,Monetary
451,0xb2d0b00f,186,3.0,347498.5633333333
452,0xb2d48ea2,235,13.0,90139.95
453,0xb2d405da,366,78.0,2131.393333333333
454,0xb2d6d9d9,602,3.0,17329.893333333333
456,0xb2d537d7,304,1.0,3623.67
460,0xb2d6cf41,93,3.0,15895.316666666666
463,0xb2d423a1,126,29.0,8397.116666666667
468,0xb2d4d849,175,4.0,1683.6633333333332
469,0xb2d8e580,564,2.0,75000.265
470,0xb2d19a45,181,3.0,23075.13
472,0xb2d34cc4,458,9.0,2377654.8183333334
473,0xb2d17fc6,561,9.0,105788.8275
477,0xb2d617d5,280,4.0,25180.676666666663
478,0xb2d2f1ad,608,21.0,5300269.5616666665
479,0x3b9b0e3d,510,45.0,178336.52500000002
480,0xb2d2d1ac,218,6.0,169743.395
481,0xb2d11fcf,452,3.0,283354.52166666667
483,0xb2d5aa55,186,171.0,34046.52666666667
485,0xb2d425f0,267,16.0,2822.64
489,0xb2d29b73,288,5.0,622432.54
490,0xb2d10004,449,11.0,305423.77
491,0xb2d37ca9,579,2.0,84931.99
492,0xb2d5c71d,212,18.0,247963.8322222222
495,0xb2d20fb4,213,51.0,152100.09333333332
497,0xb2d580c4,255,5.0,2177.42
498,0xb2d6eca5,126,15.0,71501.54428571429
499,0xb2d380db,229,29.0,100000.0
500,0xb2d6bcea,95,25.0,2949.48
502,0xb2d4e1f7,407,33.0,122.94
503,0xb2d1099d,403,18.0,309584.86875
508,0xb2d62d6b,261,3.0,41676.99166666666
513,0xb2d56315,98,6.0,132148.82857142857
514,0xb2d178f4,420,6.0,207585.7683333333
515,0xb2d49160,219,10.0,964774.3583333332
516,0xb2d5915c,311,1.0,10.516666666666666
519,0xb2d1a627,178,13.0,340078.94833333336
522,0xb2d787fd,111,24.0,250467.7233333333
524,0xb2d1b44f,574,4.0,196777.872
525,0xb2d11dad,413,2.0,41671.605
527,0xb2d3c0d1,356,3.0,127558.59333333332
528,0xb2d48c56,364,47.0,928704.055
530,0xb2d2f1d1,585,11.0,640205.0925
532,0xb2d39c14,631,1.0,36736.02
533,0xb2d6bf21,153,21.0,1488.5366666666669
534,0xb2d287cf,451,10.0,237200.99
540,0xb2d5e676,297,3.0,36467.33
542,0xb2d68072,120,61.0,2504.19
543,0xb2d59ebe,287,38.0,175000.005
544,0xb2d610b5,288,4.0,50006.84333333332
548,0xb2d5d914,206,210.0,663.8966666666666
549,0xb2d230cf,216,11.0,30289.71166666667
551,0xb2d3a9ca,267,1.0,30560.098
552,0xb2d06905,212,8.0,36193.30833333333
553,0x3b9b45ba,189,177.0,1204272.6222222222
554,0xb2d1286f,335,19.0,251670.775
557,0xb2d27647,99,3.0,100041.21833333332
561,0xb2d68516,214,4.0,456430.215
562,0xb2d07af3,536,5.0,319249.61222222226
564,0xb2d6dfee,605,1.0,151131.58333333334
565,0xb2d2c747,382,3.0,357646.60166666674
570,0xb2d5fcb1,288,7.0,234165.89375
571,0xb2d0cd5e,194,29.0,307048.83
572,0xb2d2778b,242,2.0,51502.82166666668
573,0xb2d62f00,172,7.0,45123.83
574,0xb2d14759,100,3.0,48065.254
576,0xb2d482d2,92,10.0,2453382.525
577,0xb2d0d94f,108,107.0,293824.93166666664
580,0xb2d24722,444,3.0,645248.5366666667
581,0xb2d3a3f4,175,3.0,155975.66999999998
582,0xb2d14b5e,405,6.0,690770.2616666666
585,0xb2d242fc,158,11.0,368655.8566666667
587,0x3b9b464a,434,106.0,15347.886666666667
589,0xb2d42746,163,3.0,777443.3985714286
594,0xb2d37b4d,383,12.0,258171.27
595,0xb2d0d550,540,57.0,18107.84333333333
598,0xb2d0d1ae,558,1.0,24568.11333333333
599,0xb2d3a901,378,13.0,88551.53500000002
602,0xb2d12ce3,229,26.0,11109.15
603,0xb2d4772f,434,29.0,10665.436666666666
608,0xb2d178d6,408,182.0,31657.429
609,0xb2d19a54,344,9.0,40833.9375
610,0xb2d0dd69,281,4.0,28292.963333333333
612,0xb2d1facf,281,1.0,66739.45333333332
614,0xb2d13292,231,9.0,101062.35
615,0xb2d21347,107,118.0,34840.372500000005
616,0xb2d2ec04,159,3.0,1777518.9016666666
618,0xb2d683ff,98,99.0,157496.52000000002
619,0xb2d5cf00,168,19.0,7694.306666666666
620,0xb2d089f3,246,2.0,140607.946
621,0xb2d1e620,213,3.0,2161106.466666667
622,0xb2d56b94,372,64.0,34292.52
623,0xb2d0b600,425,45.0,198649.97833333336
624,0xb2d31793,436,11.0,192404.99
625,0xb2d33650,477,3.0,218048.52
626,0xb2d60b2a,296,14.0,37088.92333333333
628,0xb2d581d5,110,5.0,4430.095
630,0xb2d3cc80,491,1.0,42790.53
632,0xb2d6ea4a,110,9.0,130019.005
633,0xb2d41eb2,564,3.0,75888.85833333334
635,0xb2d5ad31,206,19.0,1002327.6866666666
637,0xb2d2cc36,553,6.0,430857.8566666666
638,0xb2d580d3,143,8.0,26.166666666666668
640,0xb2d0b3ba,197,19.0,161626.56888888887
641,0xb2d43520,476,2.0,78.70333333333333
644,0xb2d0b525,476,29.0,214217.2366666667
645,0xb2d21d76,599,4.0,950315.7533333332
646,0xb2d4e45b,444,10.0,50755.20571428572
648,0xb2d5e60a,113,5.0,44285.61666666666
649,0xb2d6b507,129,138.0,4483.123333333333
651,0xb2d787b5,117,23.0,9185.52
652,0xb2d1cacf,286,3.0,93387.994
653,0xb2d620f6,283,2.0,50001.05499999999
654,0xb2d07499,141,3.0,367944.715
655,0xb2d13a09,213,1.0,18611610.742
656,0xb2d2d34a,583,4.0,1744.645
657,0xb2d2b4b4,403,37.0,12491.81
660,0xb2d5f85b,117,3.0,101707.44166666668
661,0xb2d0d7f9,597,15.0,16.2
664,0xb2d577af,365,6.0,75849.9825
665,0xb2d65c0f,123,87.0,5577.78
668,0xb2d6f50c,116,6.0,316983.445
669,0xb2d4ec1d,109,4.0,477939.1311111112
671,0xb2d275a8,404,3.0,315470.84
672,0xb2d1fcd3,342,10.0,3726572.062500001
674,0xb2d2e0e8,538,2.0,2.11
676,0xb2d3f15b,397,46.0,2405.2433333333333
677,0xb2d63a8b,185,3.0,43194.35428571428
678,0xb2d5babd,127,8.0,92780.664
680,0xb2d269cf,368,4.0,1022089.2766666668
681,0xb2d78626,95,3.0,3177.23
682,0xb2d38c5d,218,9.0,280181.77
683,0xb2d2affe,256,1.0,7516.21
685,0xb2d32714,104,84.0,2318.936666666667
686,0xb2d0678e,194,30.0,1957750.045
689,0xb2d59a59,96,1.0,304916.788
690,0xb2d23711,410,4.0,174707.57333333333
691,0x3b9b3891,566,330.0,77973.48933333335
695,0xb2d8d194,554,2.0,37500.1325
696,0xb2d532af,103,15.0,35538.380000000005
698,0xb2d36be4,399,3.0,305143.85833333334
702,0xb2d60167,107,5.0,70711.679
703,0xb2d09b9f,186,169.0,3643.236666666666
704,0xb2d2755d,94,91.0,9926.483333333334
705,0xb2d2bc58,114,13.0,207.34666666666664
706,0xb2d61505,281,4.0,30250.1075
707,0xb2d555b3,359,1.0,258408.025
709,0xb2d5b46c,201,16.0,440123.9872727273
710,0xb2d0977f,566,3.0,143413.28285714285
711,0xb2d3ff62,397,8.0,5576080.505
714,0xb2d1fc85,292,43.0,229910.2283333333
715,0xb2d65516,201,10.0,100293.885
716,0xb2d5141c,134,12.0,26667.43
718,0xb2d58db1,189,6.0,110024.48333333332
722,0xb2d6c18e,114,3.0,1260.4633333333334
724,0xb2d34919,536,5.0,29536.236666666668
726,0xb2d548cf,402,4.0,100021.76666666666
727,0xb2d627ef,140,9.0,231072.04142857145
728,0xb2d2af68,318,3.0,51131.79
730,0xb2d67dd2,131,12.0,12044.523333333333
731,0xb2d0952a,609,130.0,36139.34
732,0xb2d59039,366,9.0,836822.405
734,0xb2d09c89,452,98.0,5043.9400000000005
735,0xb2d48c77,197,83.0,1125150.97
736,0xb2d166c1,106,9.0,113763.1277777778
739,0xb2d6070a,285,8.0,77586.12555555555
745,0xb2d2b34f,109,10.0,693657.2071428571
746,0xb2d6b489,95,11.0,1987.5233333333333
748,0xb2d61b20,284,4.0,140021.046
749,0xb2d51e9f,99,255.0,8559.466666666665
751,0xb2d28364,520,2.0,30575.2925
754,0xb2d4f715,185,3.0,1213882.5133333334
755,0xb2d261d4,185,323.0,1110.1666666666667
756,0xb2d4ad2c,99,9.0,678718.401111111
760,0x3b9af27d,110,225.0,24310.247777777786
762,0xb2d17d83,257,3.0,121874.20833333336
763,0xb2d6e4ad,123,7.0,210040.19
764,0xb2d781e5,103,11.0,350136.5633333333
767,0xb2d6a559,178,5.0,25063.97
769,0xb2d11a02,344,7.0,250848.29125
770,0xb2d1ba25,137,6.0,69601.4
771,0xb2d5a494,95,9.0,250018.89
774,0xb2d6becd,92,225.0,175270.59333333335
775,0xb2d07c6d,110,7.0,122288.96142857142
776,0xb2d578f3,368,21.0,359271.87000000005
777,0xb2d6c4ac,158,5.0,5683.213333333333
779,0xb2d782f9,102,8.0,106598.17181818184
780,0xb2d65564,192,31.0,124167.625
782,0xb2d3ef96,156,32.0,6982.943333333334
783,0xb2d41f54,233,7.0,4823.2
786,0xb2d36455,427,17.0,49008.25
788,0xb2d2cdc8,537,4.0,250783.20666666664
789,0xb2d38cbd,254,5.0,36048.284166666665
791,0xb2d1a5ac,207,3.0,36024.304000000004
792,0xb2d5c489,197,5.0,401003.1591666667
793,0xb2d0ee16,109,7.0,12500.15
796,0xb2d10ec5,185,4.0,58366.761666666665
798,0xb2d2a968,497,1.0,41313.345
799,0xb2d212b1,494,16.0,128538.865
800,0xb2d3a87d,177,3.0,3451059.7516666665
802,0xb2d0e45f,558,4.0,176092.07166666666
803,0xb2d251bd,329,10.0,1524849.9533333334
805,0xb2d43853,230,17.0,233160.45333333337
806,0xb2d26675,204,3.0,2487918.125
807,0xb2d69a43,119,8.0,5367.72
809,0xb2d5c8a3,224,67.0,3441.5733333333324
810,0xb2d64034,169,1.0,2218.37
811,0xb2d6972e,182,65.0,928.7833333333332
813,0xb2d5dfaa,117,18.0,484223.8328571429
822,0xb2d12704,196,156.0,8780.626666666667
823,0xb2d37c6a,364,1.0,1136.5600000000002
826,0xb2d62f57,144,2.0,210.13
827,0xb2d1a678,553,14.0,72268.775
829,0xb2d119ae,219,3.0,288735.67833333334
830,0xb2d613d3,212,1.0,2.28
832,0xb2d412a3,431,3.0,5102133.26
833,0xb2d32dc2,93,3.0,845497.6150000001
834,0xb2d6d53e,97,42.0,20350.496666666662
835,0xb2d29d95,461,5.0,8706.57
836,0xb2d60c1d,115,2.0,841.0799999999999
837,0xb2d4ac4e,375,6.0,47384.995
840,0xb2d4d318,251,16.0,242798.6977777778
841,0xb2d568dc,92,3.0,585779.59
847,0xb2d0ac79,441,37.0,877402.6
848,0xb2d3f4ac,368,1.0,1140146.3233333337
851,0xb2d6b32d,96,106.0,66835.53666666667
852,0xb2d56666,133,1.0,100490.43
853,0xb2d4436c,518,26.0,1934.4433333333332
854,0xb2d28f7c,131,3.0,3886919.72
857,0xb2d6c4a6,107,39.0,1464.97
859,0xb2d4a267,454,15.0,11741.56
864,0xb2d240e3,279,15.0,185961.43
866,0xb2d5d812,168,11.0,2091.61
867,0xb2d39f98,433,13.0,147298.42833333334
868,0xb2d0a2a1,566,3.0,18449.620000000003
870,0xb2d6c1c1,95,51.0,300024.9525
871,0xb2d627dd,141,38.0,334644.5633333333
874,0x3b9b0e52,431,22.0,50164.43666666667
875,0xb2d6a7d2,546,2.0,100710.50833333336
876,0xb2d3d13c,93,3.0,901142.9083333332
878,0xb2d57701,189,6.0,187298.03333333333
879,0x3b9af196,609,213.0,36594.85727272728
884,0x3b9b2f97,194,10.0,921497.35
885,0xb2d193fd,212,2.0,136000.66499999998
886,0xb2d7c44e,108,276.0,3252.5933333333337
888,0xb2d45eed,105,3.0,26360.83
891,0xb2d20768,354,6.0,431139.834
892,0xb2d54eba,404,6.0,3206.1566666666663
894,0xb2d2fbcd,195,638.0,5296.286666666667
896,0xb2d2124e,480,140.0,4720.466666666666
899,0xb2d65987,191,11.0,19658.606666666667
900,0xb2d1bf0e,563,1.0,798638.6416666666
901,0xb2d32720,198,9.0,13582.053333333335
902,0xb2d6819e,209,26.0,193003.39
903,0xb2d59702,326,9.0,898581.4083333332
904,0xb2d1eac1,115,108.0,5749.493333333333
905,0xb2d223e2,612,8.0,821671.7066666667
906,0xb2d254a2,353,3.0,79845.64
910,0xb2d32f6f,169,10.0,124006.8
911,0xb2d60d7c,201,15.0,165281.57499999998
915,0xb2d48c26,125,11.0,4442.19
916,0xb2d151f7,242,26.0,4704.794999999999
917,0xb2d3a547,134,3.0,583274.425
918,0x3b9b145e,123,8.0,58573.94272727272
919,0xb2d210bf,371,179.0,118136.40888888892
920,0xb2d6c1ac,153,93.0,20283.766666666663
921,0xb2d69d31,134,168.0,53643.25333333333
925,0xb2d29f03,556,13.0,357956.34500000003
926,0xb2d54cd7,235,4.0,1377505.7833333332
927,0xb2d60c08,269,19.0,10716.21
928,0xb2d5edab,182,101.0,1283.3433333333332
929,0xb2d5c5be,154,28.0,253578.405
930,0xb2d28db1,161,72.0,1320.26
933,0xb2d17948,522,22.0,402222.64
934,0xb2d6062f,121,11.0,48087.03666666666
935,0xb2d2b7a2,303,24.0,28667.996666666662
937,0xb2d072d4,370,14.0,532680.4149999999
938,0xb2d46f91,144,41.0,202024.84
939,0xb2d28169,200,40.0,193268.3633333333
941,0xb2d5fe19,114,6.0,7223.046666666666
943,0xb2d19cb2,211,3.0,318111.24666666664
944,0xb2d58322,175,14.0,166871.16
945,0xb2d277fa,246,6.0,167980.13444444444
946,0xb2d2380d,216,23.0,501436.896
947,0xb2d56558,233,3.0,22837.112500000003
950,0xb2d446e4,203,9.0,313743.0366666667
952,0xb2d23489,583,15.0,1461993.4383333337
953,0xb2d2fb58,271,21.0,125510.46333333332
956,0xb2d1ffc7,571,10.0,275021.10833333334
961,0xb2d0cf38,533,19.0,274015.46900000004
962,0x3b9b4110,216,2.0,1197961.7516666667
963,0xb2d4fe14,97,13.0,96585.92666666664
964,0xb2d06479,423,20.0,42819.852
965,0xb2d3ee22,91,68.0,7413.0
967,0xb2d55c10,402,37.0,306667.1233333333
968,0xb2d2889b,101,10.0,172227.30333333334
969,0xb2d17003,386,3.0,163926.956
970,0xb2d3406a,375,7.0,7073.206666666666
973,0xb2d68096,93,5.0,12297.163333333332
974,0xb2d68a7d,92,5.0,2750033.5233333334
976,0xb2d500cc,319,4.0,143628.36333333334
979,0xb2d279e3,344,3.0,445371.8633333333
980,0xb2d58259,144,3.0,50006.20333333333
981,0xb2d683d5,192,22.0,302746.47909090907
983,0xb2d28424,423,1.0,3883.1425
984,0xb2d4f271,285,89.0,6909.56
985,0xb2d2d73a,190,223.0,263704.242
986,0xb2d18191,241,9.0,14751.68
989,0xb2d06d10,130,1.0,6738.583333333333
990,0xb2d1653b,394,9.0,80047.27
991,0xb2d1581e,252,3.0,6621.403333333333
993,0xb2d370a9,227,14.0,58730.70333333333
996,0xb2d2c4a7,267,21.0,5276.42
997,0xb2d6c1b2,107,61.0,2785.22
998,0xb2d25952,420,8.0,260762.05
1000,0xb2d28223,156,5.0,92573.42833333332
1001,0xb2d57a5e,358,10.0,122677.2825
1002,0x3b9af26b,572,10.0,205803.25000000003
1003,0xb2d2f3e4,430,1.0,246961.9016666667
1004,0xb2d4084d,400,53.0,376.11666666666673
1005,0xb2d25d51,186,7.0,2816705.303333333
1006,0xb2d5b181,277,7.0,300122.4657142857
1007,0xb2d3ae68,187,1.0,1107430.5633333332
1008,0xb2d4363d,539,3.0,61082.74833333333
